id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
1,Departamento,Alquiler,1.0,120000.0,Pesos,Bº Centro,08.10.2023,Centro- Calle Belgrano 280- Externo- Living- Cocina- Baño- Dormitorio c / placar
2,Casa,Alquiler,3.0,2000.0,Dólares,Bº El Bosque,08.10.2023, El Bosque  Alquiler- 3 Dormitorios en planta baja - Pileta
3,Casa,Alquiler,3.0,2000.0,Dólares,Bº El Bosque,08.10.2023,ALQUILER - El Bosque - 3 Dormitorios en planta baja - Pileta
4,Comercio,Alquiler,,800000.0,Pesos,Bº Villa Belgrano,08.10.2023,Excelente local en alquiler en Villa Belgrano - en Complejo MilNueveDiez
5,Departamento,Alquiler,1.0,120000.0,Pesos,Bº Centro,08.10.2023,Alquilo hermoso depto de 1 dormitorio con Balcón
6,Departamento,Alquiler,2.0,150000.0,Pesos,Bº Alberdi,08.10.2023,ALQUILER DEPARTAMENTO BARRIO ALBERDI
7,Casa,Alquiler,4.0,700000.0,Pesos,Bº Nueva Córdoba,08.10.2023,APTO RESIDENCIA!! PARQUE VELEZ SARFIELD!!
8,Casa,Alquiler,3.0,350000.0,Pesos,Bº Claros del Bosque,08.10.2023,Amplio Dúplex en Alquiler - Claros del Bosque ~
9,Departamento,Alquiler,2.0,280000.0,Pesos,Bº Nueva Córdoba,08.10.2023,Bº NVA CBA - ALQ DPTO 2 DORM CON BALCON - A POCAS CUADRAS DE PLAZA ESPAÑA
10,Departamento,Alquiler,2.0,120000.0,Pesos,Bº Observatorio,08.10.2023,ALQUILO DPTO 2 DORMITORIOS B° OBSERVATORIO.
11,Departamento,Alquiler,3.0,1100.0,Dólares,Bº Nueva Córdoba,08.10.2023,Imperdible departamento de ALTA GAMA
12,Comercio,Alquiler,,200000.0,Pesos,Bº General Paz,08.10.2023,ALQUILO LOCAL EN BARRIO GRAL PAZ!!!
13,Casa,Alquiler,2.0,180000.0,Pesos,Bº Pueyrredon,08.10.2023,IMAGINACION - ESPACIO - COMODIDAD!!!
14,Departamento,Alquiler,3.0,1400.0,Dólares,Bº Villa Belgrano,08.10.2023,ALQUILER DEPARTAMENTO DE CATEGORÍA 1910 - 3 DORM  /  3 BAÑOS - 2 COCHERAS
15,Casa,Alquiler,2.0,120000.0,Pesos,Bº Don Bosco,08.10.2023,B° Don Bosco - Casa de 2 Dormitorios Amplia y Luminosa con Patio y Cochera
