TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
Departamento,Alquiler,1.0,250000.0,Pesos,Bº Nueva Córdoba,29.09.2023,Nazareno XI- Bv. Illia N°362 - 1 Dorm - balcon - Nueva Córdoba
Departamento,Alquiler,1.0,2300.0,Dólares,Bº Nueva Córdoba,03.10.2023,SEMIPISO de 226 m2!! Fte Pza España! c / 2 Cocheras
Departamento,Alquiler,1.0,350000.0,Pesos,Bº Poeta Lugones,18.09.2023,Nuevo Poeta Lugones alquiler
Departamento,Alquiler,1.0,65000.0,Pesos,Bº Guemes,07.08.2023,KABAL'S ALQUILA LOCAL APTO GASTRONOMICO EN PUEYRREDON 619
Departamento,Alquiler,1.0,70000.0,Pesos,Bº Los Naranjos,07.06.2023,MAESTRO VIDAL dpto 1 dorm 1 baño con patio
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Guemes,06.10.2023,1 DORMITORIO A ESTRENAR - ALQUILER - GÜEMES
Departamento,Alquiler,1.0,210000.0,Pesos,Bº General Paz,06.10.2023,Alquiler  / dto /  Dos Dorm.  /  General Paz
Departamento,Alquiler,1.0,160000.0,Pesos,Bº Nueva Córdoba,06.10.2023,ALQUILER DEPARTAMENTO DE 1 DORMITORIO - OBISPO SALGUERO (NUEVA CÓRODBA)
Departamento,Alquiler,1.0,550000.0,Pesos,Bº Greenville 2,04.10.2023,GREEN VILLE 2 - 200m2 Cub!!  Cochera para 2 autos 
Departamento,Alquiler,1.0,130000.0,Pesos,Bº Centro,04.10.2023,"INDEPENDENCIA 301,  LUMINOSO,  CONTRAFRENTE,  COCINA AMERICANA."
Departamento,Alquiler,1.0,150000.0,Pesos,Bº Nueva Córdoba,04.10.2023,CHACABUCO 327 - 1D - ALQUILER
Departamento,Alquiler,1.0,205000.0,Pesos,Bº Nueva Córdoba,02.10.2023,Alquiler Nueva Córdoba  /  /  1 Dorm  /  /  2 Balcones  /  /  Mejor Zona
Departamento,Alquiler,1.0,100000.0,Pesos,Bº Nueva Córdoba,22.09.2023,ALQUILER Departamento Balcarse 500 B° Nueva Cba
Departamento,Alquiler,2.0,190000.0,Pesos,Bº Nueva Córdoba,15.09.2023,Alquilo 2 dorm. y 2 baños en el mejor lugar de nva cba
