id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
32,null,Alquiler,,250000.0,Pesos,Bº Nueva Córdoba,29.09.2023,Nazareno XI- Bv. Illia N°362 - 1 Dorm - balcon - Nueva Córdoba
109,null,Alquiler,,2300.0,Dólares,Bº Nueva Córdoba,03.10.2023,SEMIPISO de 226 m2!! Fte Pza España! c / 2 Cocheras
112,null,Alquiler,,350000.0,Pesos,Bº Poeta Lugones,18.09.2023,Nuevo Poeta Lugones alquiler
114,null,Alquiler,,65000.0,Pesos,Bº Guemes,07.08.2023,KABAL'S ALQUILA LOCAL APTO GASTRONOMICO EN PUEYRREDON 619
116,null,Alquiler,,70000.0,Pesos,Bº Los Naranjos,07.06.2023,MAESTRO VIDAL dpto 1 dorm 1 baño con patio
461,null,Alquiler,,130000.0,Pesos,Bº Guemes,06.10.2023,1 DORMITORIO A ESTRENAR - ALQUILER - GÜEMES
462,null,Alquiler,,210000.0,Pesos,Bº General Paz,06.10.2023,Alquiler  / dto /  Dos Dorm.  /  General Paz
463,null,Alquiler,,160000.0,Pesos,Bº Nueva Córdoba,06.10.2023,ALQUILER DEPARTAMENTO DE 1 DORMITORIO - OBISPO SALGUERO (NUEVA CÓRODBA)
477,null,Alquiler,,550000.0,Pesos,Bº Greenville 2,04.10.2023,GREEN VILLE 2 - 200m2 Cub!!  Cochera para 2 autos 
488,null,Alquiler,,130000.0,Pesos,Bº Centro,04.10.2023,"INDEPENDENCIA 301,  LUMINOSO,  CONTRAFRENTE,  COCINA AMERICANA."
489,null,Alquiler,,150000.0,Pesos,Bº Nueva Córdoba,04.10.2023,CHACABUCO 327 - 1D - ALQUILER
510,null,Alquiler,,205000.0,Pesos,Bº Nueva Córdoba,02.10.2023,Alquiler Nueva Córdoba  /  /  1 Dorm  /  /  2 Balcones  /  /  Mejor Zona
536,null,Alquiler,,100000.0,Pesos,Bº Nueva Córdoba,22.09.2023,ALQUILER Departamento Balcarse 500 B° Nueva Cba
546,null,Alquiler,,190000.0,Pesos,Bº Nueva Córdoba,15.09.2023,Alquilo 2 dorm. y 2 baños en el mejor lugar de nva cba
549,null,Alquiler,,180000.0,Pesos,Bº Centro,07.09.2023,1 DORM CON TERRAZA PROPIA FRENTE AL PARQUE LAS TEJAS
550,null,Alquiler,,140000.0,Pesos,Bº Centro,05.09.2023,DEPARTAMENTO DE UN DORMITORIO EN EL CENTRO (TORRE NUBIS)
