id,TipoDeInmueble,TipoDeOperacion,Dormitorios,Precio,Moneda,Zona,FechaDeActualización,Descripcion
18,Comercio,Alquileres,,,Moneda no identificada,Bº Mirizzi,08.10.2023,"4500m2 Cub. !! en predio de 1, 2 Ha!! ZONA SUR !!"
29,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,06.10.2023,"¡¡¡Local de 530m2!!! Excelente acceso,  mucha vidriera,  espacio de oficinas"
34,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,ALQUILER. LOCAL 1100 mts. AV. MAIPU Y ROSARIO FE SANTA FE
56,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,SE ALQUILA EXCELENTE LOCAL COMERCIAL EN AV. COLON Y CAÑADA
69,Comercio,Alquileres,,,Moneda no identificada,Bº General Paz,08.10.2023,3000m2 Cub.TOTAL / PARC !~GRAN FRENTE! B°GRALPAZ
77,Comercio,Alquileres,,,Moneda no identificada,Bº Los Boulevares,08.10.2023,3.800m2 TOTAL-LOS BOULEVARES - 11.4000m2 TERRENO!!
118,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,09.10.2023,B Centro - Excelente Edificio con Estacionamiento propia - Zona  Termina
119,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,09.10.2023,LOCAL 2500 M2 IDEAL PARA PUNTO DE VENTA Y DISTRIBUCION CON ESTACIONAMIENTO!!
124,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,09.10.2023,B Centro - Imponente Local Comercial - 25 de Mayo esq. Rivadavia - Alto  transito
195,Comercio,Alquileres,,,Moneda no identificada,Bº Ferreyra,08.10.2023,600m2 y 450m2 EN COMPLEJO PRIVADO !! IDEAL LOGISTICA !!
238,Departamento,Alquileres,2.0,,Moneda no identificada,Bº Quebrada de las Rosas,08.10.2023,TORRES DEL BOTÁNICO
281,Casa,Alquileres,2.0,,Moneda no identificada,Bº Colinas del Cerro,08.10.2023,ESPECTACULAR VIVIENDA ZONA NORTE - B°COLINAS DEL CERRO
336,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,LOCAL COMERCIAL EN PLENO CENTRO PEATONAL
338,Casa,Alquileres,2.0,,Moneda no identificada,Bº José Hernandez,08.10.2023,ZONA SUR - CASA 2 DORMITORIOS
352,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,Local 1072 m2 Cubiertos - Lima 219  - Centro
355,Departamento,Alquileres,4.0,,Moneda no identificada,Bº Villa Belgrano,08.10.2023,ALQUILER CHATEAU VILLAGE (VILLA BELGRANO) DEPARTAMENTO 3 DORMITORIOS AMENITIES
356,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,RECTA MARTINOLLI LOCAL ESQUINA 50 MTS DE FRENTE-4300MTS 
367,Comercio,Alquileres,,,Moneda no identificada,Bº Jardín,08.10.2023,Oficinas más 900 mts 2 Zona Sur
385,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Ipona,08.10.2023,DPTO ZONA SUR - UN DORMITORIO - B° IPONA
388,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,Excelente Local u Oficina con cochera C / Vig 24 / 7
393,Comercio,Alquileres,,,Moneda no identificada,Bº Alta Córdoba,08.10.2023,Alta Cordoba local en alquiler 
396,Comercio,Alquileres,,,Moneda no identificada,Bº Cofico,08.10.2023,B`COFICO !!! 3000m2 ! SHOWROOM - OFICINAS - LOCAL COMERCIAL !!
397,Duplex,Alquileres,3.0,,Moneda no identificada,Bº La Calandria ,08.10.2023,ALQUILER: LA CALANDRIA-DÚPLEX CERCANO AL INGRESO-3 DOR
400,Comercio,Alquileres,,,Moneda no identificada,Bº Las Flores,08.10.2023,1140m2 cub ! excelente ubicacion ! Zona Sur!!!
401,Comercio,Alquileres,,,Moneda no identificada,Bº Empalme,08.10.2023,1500m2 dentro de complejo de galpones POLO 52  (GA 612)
402,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,Centro oficina Zona Tribunales - Duarte Quiros al 900
413,Departamento,Alquileres,1.0,,Moneda no identificada,Bº General Paz,08.10.2023,ALQUILER Bº GRAL PAZ PRINGLES AL 100 - DEPTO 1 DORMITORIO C / AMENITIES
416,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Centro,08.10.2023,CENTRO ALQUILER CORRO Y BV SAN JUAN Z / TRIBUNALES 1 DORMITORI 5 CDRAS PATIO OLMOS
421,Comercio,Alquileres,,,Moneda no identificada,Bº General Paz,08.10.2023,DUEÑO DIRECTO - OFICINA / SHOWROOM - IDEAL EQUIPO DE TRABAJO
441,Comercio,Alquileres,,,Moneda no identificada,Bº Poeta Lugones,06.10.2023,Garat 2500 Lote Uso Comercial 9700 m2 TERRENO ALQUILER POETA LUGONES
471,Casa,Alquileres,3.0,,Moneda no identificada,Bº Quintas de Flores,05.10.2023,ALQUILO CASA  3 DORMITORIOS C / PILETA B° MARIA LAURA
480,Casa,Alquileres,,,Moneda no identificada,Bº Jardín Espinosa,04.10.2023,JARDIN ESPINOSA - CASA DE 6 DORMITORIOS
487,Duplex,Alquileres,3.0,,Moneda no identificada,Bº La Paya II,04.10.2023,LA PAYA 2 DUPLEX DE 3 DORMITORIOS
525,Casa,Alquileres,3.0,,Moneda no identificada,Bº Tablada Park,28.09.2023,ALQUILO CASA 3 DORMITORIOS ZONA NORTE 
527,Comercio,Alquileres,,,Moneda no identificada,null,27.09.2023,Galpones a estrenar de 4.000m2 en Juan B Justo 8.570
528,Comercio,Alquileres,,,Moneda no identificada,Bº Pueyrredon,27.09.2023,Local en galeria comercial Paseo Talleres - ChangoMâs
529,Comercio,Alquileres,,,Moneda no identificada,Bº Ferroviario Mitre,27.09.2023,Galpon 2.000m2 con docks de carga camino interfabricas!
555,Casa,Alquileres,2.0,,Moneda no identificada,Bº Alberdi,25.08.2023,INMOBILIARIA A Dueño Busco Propiedades para
559,Comercio,Alquileres,,,Moneda no identificada,Bº Altamira,18.08.2023,Se lo va a perder....local en la calle punilla a metros de la Sabattini
577,Comercio,Alquileres,,,Moneda no identificada,Bº Quebrada de las Rosas,03.08.2023,Alquiler OFICINAS de categoria en CIUDAD GAMA 
611,Comercio,Alquileres,,,Moneda no identificada,Bº Alem L.N.(O),31.05.2023,ALQUILER DE GALPÓN EN PARQUE INDUSTRIAL POLO 52 CÓRDOBA 
625,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,06.02.2023,ALQ. LOCAL / OFICINA 200 m2 - CENTRO AVELLANEDA 250
657,Departamento,Alquileres,2.0,,Moneda no identificada,Bº General Paz,08.10.2023,Oronel Fay Inmobiliaria - Administracion De Propiedades
659,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,Local 27 de Abril 387 a metros de La Cañada-
715,Comercio,Alquileres,,,Moneda no identificada,Bº Palmar,08.10.2023,GALPON EXC. UBICACION
724,Casa,Alquileres,4.0,,Moneda no identificada,Bº Talleres Oeste,08.10.2023,CASA EN ALQUILER A ESTRENAR
808,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,PLAZA ITALIA. OFICINA CON BALCÓN
855,Casa,Alquileres,3.0,,Moneda no identificada,Bº Las Delicias,08.10.2023,ALQUILER  LAS DELICIAS - Casa 3 DORM
870,Comercio,Alquileres,,,Moneda no identificada,Bº Nueva Córdoba,08.10.2023,IMPORTANTE CASONA - APTO GASTRONOMÍA 
905,Comercio,Alquileres,,,Moneda no identificada,Bº Guiñazú Sur,08.10.2023,600m2 a metros de Av. Japon !! 
926,Departamento,Alquileres,4.0,,Moneda no identificada,Bº Alto Alberdi,08.10.2023,EDIFICIO EN BLOQUE CON AULAS EN PB  Y HABITACIONES EN PA + DPTO INDIVIDUAL
953,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,Excelente Local u Oficina con cochera C / Vig 24 / 7
962,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,3000m2 - Patrón IIIB ! Muy cercano al centro !!
978,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,Oportunidad Local u Oficina con patio y cochera C / Vig 24 / 7
979,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,Oportunidad Local u Oficina con patio y cochera C / Vig 24 / 7
980,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,Oportunidad Local u Oficina con patio y cochera C / Vig 24 / 7
981,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,COCHERAS EN BLOQUE P / FLOTA VEHICULAR
998,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,ALQUILER OFICINA - Humberto Primo 600
1003,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,ALQUILER LOCAL!!! PLENO CENTRO!!! IDEALES PARA TODO TIPO DE RUBRO!!!
1010,Comercio,Alquileres,,,Moneda no identificada,Bº Villa Bustos,08.10.2023,KABAL'S ALQUILA NAVE EN POLO 52
1013,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,Centro  Sobre 27 de Abril - Frente Plaza Italia - Alquiler Oficina
1020,Comercio,Alquileres,,,Moneda no identificada,Bº Cerro de las Rosas,08.10.2023,Local esquina en Sobre rafael Nuñez Esquina manuel lopez
1021,Comercio,Alquileres,,,Moneda no identificada,Bº Alberdi,08.10.2023,Naves INDUSTRIALES desde 1000m2 a 10.000m2 !!
1037,Departamento,Alquileres,1.0,,Moneda no identificada,Bº Nueva Córdoba,08.10.2023,ADMINISTRAMOS TU PROPIEDAD!I NMOBILIARIA YELICICHBIENES RAÍCES
1050,Comercio,Alquileres,,,Moneda no identificada,Bº Jardín,08.10.2023,ALQUILO GRAN GALPON NUEVO EN AV. VALPARAISO B° JARDIN
1059,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,COCHERAS EN BLOQUE P / FLOTA VEHICULAR
1060,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,COCHERAS Cubiertas para FLOTA de VEHICULOS 
1069,Comercio,Alquileres,,,Moneda no identificada,Bº Alberdi,08.10.2023,3000m2 !! PIV !! 5 minutos del centro!!
1070,Comercio,Alquileres,,,Moneda no identificada,Bº Centro,08.10.2023,NUEVA CÓRDOBA / CENTRO!!! ALQUILER LOCAL A ESTRENAR!!! 
1074,Comercio,Alquileres,,,Moneda no identificada,Bº Arguello,08.10.2023,COCHERAS Cubiertas c / Vigilancia 24hs. Arguello
1084,Comercio,Alquileres,,,Moneda no identificada,Bº Alto Alberdi,08.10.2023,Por pedidos concreto solicitamos Galpones industriales de 1000 a 10.000m2 !!
1097,Comercio,Alquileres,,,Moneda no identificada,Bº Los Boulevares,08.10.2023,PARQUE EMPRESARIAL AEROPUERTO!! LA MEJOR VISTA! PISO TECNICO!! PLANTA LIBRE
